datetime,month,day,hour,dayofweek,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,registered
2012-10-13 14:00:00,10,13,14,5,4,0,0,1,19.68,23.485,33,12.998,354
2011-03-13 01:00:00,3,13,1,6,1,0,0,1,14.76,17.425,66,8.9981,23
2012-12-06 20:00:00,12,6,20,3,2,0,1,1,27.88,31.82,83,12.998,350
2011-09-07 11:00:00,9,7,11,2,3,0,0,1,31.98,34.85,46,19.9995,189
2011-03-11 00:00:00,3,11,0,4,4,0,1,1,14.76,18.18,76,6.0032,28
2012-06-14 07:00:00,6,14,7,3,2,0,1,1,24.6,30.305,60,19.0012,480
2012-02-07 12:00:00,2,7,12,1,3,0,1,1,34.44,36.365,32,12.998,183
2012-05-13 09:00:00,5,13,9,6,2,0,0,1,24.6,31.06,56,8.9981,143
2011-01-03 12:00:00,1,3,12,0,1,0,1,1,12.3,15.15,39,8.9981,80
2012-05-17 01:00:00,5,17,1,3,2,0,1,1,24.6,28.03,83,11.0014,16
2011-10-19 19:00:00,10,19,19,2,4,0,1,2,24.6,27.275,88,8.9981,189
2012-07-07 19:00:00,7,7,19,5,3,0,0,1,37.72,41.665,33,8.9981,219
2011-09-14 07:00:00,9,14,7,2,3,0,1,1,24.6,28.03,83,7.0015,350
2011-01-11 10:00:00,1,11,10,1,4,0,1,1,18.04,21.97,62,8.9981,114
2012-12-19 02:00:00,12,19,2,2,4,0,1,1,11.48,15.15,65,6.0032,2
2011-06-03 13:00:00,6,3,13,4,1,0,0,2,18.86,22.725,94,23.9994,83
2012-02-18 23:00:00,2,18,23,5,1,0,0,2,14.76,16.665,40,26.0027,62
2011-12-19 00:00:00,12,19,0,0,4,0,1,1,8.2,11.365,75,6.0032,14
2011-11-06 00:00:00,11,6,0,6,2,0,0,1,28.7,33.335,79,8.9981,89
2012-01-17 12:00:00,1,17,12,1,1,0,1,2,13.12,15.15,87,19.0012,83
2011-11-03 15:00:00,11,3,15,3,1,0,1,2,13.94,15.91,53,16.9979,64
2012-05-08 13:00:00,5,8,13,1,3,0,0,1,36.08,40.91,44,31.0009,315
2012-02-04 15:00:00,2,4,15,5,2,0,1,1,19.68,23.485,33,27.9993,192
2011-11-06 22:00:00,11,6,22,6,2,0,0,1,27.06,30.305,78,15.0013,137
2011-04-01 05:00:00,4,1,5,4,1,0,1,1,4.92,7.575,68,7.0015,4
2011-07-12 13:00:00,7,12,13,1,4,0,1,3,18.04,21.97,100,12.998,28
2011-02-16 16:00:00,2,16,16,2,1,0,1,1,18.86,22.725,31,26.0027,96
2011-10-19 09:00:00,10,19,9,2,4,0,1,3,21.32,25.0,88,32.9975,185
2011-06-07 00:00:00,6,7,0,1,3,0,1,1,29.52,34.85,74,12.998,26
2011-05-01 20:00:00,5,1,20,6,1,0,1,1,9.02,11.365,47,11.0014,82
2012-07-01 16:00:00,7,1,16,6,1,0,0,2,22.96,26.515,37,19.0012,268
2011-06-08 17:00:00,6,8,17,2,3,0,0,3,30.34,35.605,79,11.0014,88
2012-11-14 04:00:00,11,14,4,2,4,0,1,1,9.02,11.365,69,12.998,6
2011-05-02 18:00:00,5,2,18,0,1,0,0,2,11.48,12.12,93,30.0026,81
2011-08-04 05:00:00,8,4,5,3,2,0,1,2,13.12,15.91,87,12.998,8
2012-10-07 04:00:00,10,7,4,6,3,0,1,1,27.88,31.82,79,8.9981,4
2012-03-02 13:00:00,3,2,13,4,1,0,1,1,14.76,18.18,46,0.0,173
2012-10-15 02:00:00,10,15,2,0,4,0,1,2,23.78,27.275,64,23.9994,5
2012-09-09 06:00:00,9,9,6,6,3,0,0,1,21.32,25.0,77,12.998,24
2011-09-19 19:00:00,9,19,19,0,3,0,1,2,22.96,26.515,68,7.0015,333
2012-07-06 10:00:00,7,6,10,4,2,0,1,1,24.6,30.305,64,6.0032,154
2012-04-12 19:00:00,4,12,19,3,4,0,1,1,19.68,23.485,67,15.0013,414
2012-06-10 11:00:00,6,10,11,6,4,0,0,1,26.24,30.305,65,16.9979,389
2011-09-03 22:00:00,9,3,22,5,1,0,1,3,13.12,15.91,93,11.0014,17
2011-03-14 09:00:00,3,14,9,0,1,0,1,1,13.12,15.15,53,22.0028,127
2011-12-02 02:00:00,12,2,2,4,1,0,0,1,5.74,10.605,80,0.0,13
2012-04-15 06:00:00,4,15,6,6,2,0,0,1,20.5,24.24,63,8.9981,11
2012-11-08 08:00:00,11,8,8,3,3,0,0,1,27.06,30.305,83,7.0015,132
2012-05-10 22:00:00,5,10,22,3,4,0,1,1,24.6,29.545,73,19.0012,201
2012-02-18 06:00:00,2,18,6,5,1,0,0,1,9.84,14.395,70,0.0,8
2012-03-15 20:00:00,3,15,20,3,1,0,1,2,23.78,27.275,60,23.9994,270
2012-01-07 04:00:00,1,7,4,5,3,0,0,1,28.7,33.335,79,12.998,4
2011-10-01 03:00:00,10,1,3,5,1,0,1,1,4.92,6.06,50,15.0013,1
2011-09-18 22:00:00,9,18,22,6,3,0,0,2,22.14,25.76,68,6.0032,75
2011-11-14 08:00:00,11,14,8,0,4,0,1,2,18.86,22.725,67,12.998,425
2012-06-18 07:00:00,6,18,7,0,2,0,1,3,21.32,25.0,94,15.0013,135
2011-09-02 09:00:00,9,2,9,4,1,0,1,1,4.92,6.82,39,11.0014,119
2011-04-19 17:00:00,4,19,17,1,2,0,1,1,22.96,26.515,60,7.0015,372
2011-02-04 13:00:00,2,4,13,4,2,0,0,1,13.94,16.665,81,8.9981,81
2011-01-14 13:00:00,1,14,13,4,1,0,1,1,9.02,9.85,37,26.0027,73
2011-01-04 03:00:00,1,4,3,1,2,0,1,2,9.84,11.365,93,16.9979,4
2011-01-15 22:00:00,1,15,22,5,1,0,0,2,12.3,15.91,42,7.0015,26
2011-10-19 01:00:00,10,19,1,2,4,0,1,2,21.32,25.0,77,12.998,9
2012-08-14 14:00:00,8,14,14,1,3,0,1,1,33.62,37.12,41,15.0013,175
2012-10-18 01:00:00,10,18,1,3,4,0,1,1,18.86,22.725,82,15.0013,14
2011-01-03 17:00:00,1,3,17,0,1,0,1,1,13.94,17.425,34,6.0032,230
2011-12-11 15:00:00,12,11,15,6,4,0,0,1,21.32,25.0,29,19.0012,221
2011-04-01 12:00:00,4,1,12,4,1,0,1,1,9.02,11.365,51,11.0014,66
2012-03-11 21:00:00,3,11,21,6,4,0,0,1,13.94,17.425,53,7.0015,135
2012-02-11 01:00:00,2,11,1,5,4,0,1,1,13.12,15.91,66,11.0014,19
2011-05-04 00:00:00,5,4,0,2,2,0,1,1,25.42,31.06,50,7.0015,12
2011-06-01 19:00:00,6,1,19,2,1,0,1,1,9.02,12.88,55,6.0032,109
2012-09-07 08:00:00,9,7,8,4,3,0,1,2,27.06,30.305,83,11.0014,429
2011-06-17 16:00:00,6,17,16,4,2,0,1,1,31.16,34.09,45,11.0014,286
2011-08-17 04:00:00,8,17,4,2,3,0,1,1,26.24,30.305,73,0.0,5
2012-05-11 12:00:00,5,11,12,4,4,0,1,1,14.76,16.665,43,22.0028,206
2012-12-16 00:00:00,12,16,0,6,4,0,0,2,14.76,18.94,62,0.0,102
2012-03-09 05:00:00,3,9,5,4,3,1,0,1,27.06,29.545,89,0.0,3
2011-06-16 17:00:00,6,16,17,3,2,0,1,2,26.24,29.545,78,7.0015,230
2012-03-13 20:00:00,3,13,20,1,1,0,1,1,24.6,31.06,49,11.0014,306
2011-02-19 06:00:00,2,19,6,5,1,0,0,1,16.4,20.455,17,27.9993,3
2011-01-11 15:00:00,1,11,15,1,4,0,1,1,20.5,24.24,45,8.9981,148
2011-07-03 18:00:00,7,3,18,6,1,0,1,1,13.12,15.15,31,15.0013,214
2012-10-09 14:00:00,10,9,14,1,3,0,1,1,27.06,31.06,36,19.0012,233
2012-03-16 01:00:00,3,16,1,4,1,0,1,2,17.22,21.21,82,22.0028,22
2012-11-17 08:00:00,11,17,8,5,4,0,0,1,10.66,12.88,65,15.0013,138
2012-03-14 07:00:00,3,14,7,2,1,0,1,1,18.04,21.97,82,7.0015,348
2012-11-03 13:00:00,11,3,13,5,1,0,0,1,17.22,21.21,41,19.9995,288
2012-05-16 13:00:00,5,16,13,2,2,0,1,1,29.52,32.575,42,0.0,273
2011-02-03 21:00:00,2,3,21,3,1,0,1,1,13.94,14.395,29,31.0009,68
2012-03-16 23:00:00,3,16,23,4,1,0,1,2,18.04,21.97,94,0.0,104
2012-04-18 12:00:00,4,18,12,2,2,0,1,3,18.86,22.725,51,7.0015,95
2011-11-10 18:00:00,11,10,18,3,4,0,1,2,24.6,28.79,78,15.0013,493
2011-10-12 22:00:00,10,12,22,2,4,0,0,1,9.02,11.365,41,8.9981,88
2012-07-17 12:00:00,7,17,12,1,3,0,1,2,36.9,40.91,35,0.0,174
2012-03-04 20:00:00,3,4,20,6,2,0,1,1,22.96,26.515,24,8.9981,325
2012-04-14 07:00:00,4,14,7,5,2,0,0,1,14.76,18.18,71,7.0015,56
2011-07-01 04:00:00,7,1,4,4,1,0,1,2,8.2,10.605,69,8.9981,1
2011-01-08 00:00:00,1,8,0,5,3,0,1,1,29.52,34.09,70,15.0013,22
2011-04-06 21:00:00,4,6,21,2,2,0,0,2,27.06,31.06,47,7.0015,139
2012-10-05 01:00:00,10,5,1,4,2,0,1,2,19.68,23.485,88,8.9981,9
2011-07-18 10:00:00,7,18,10,0,3,0,1,1,31.16,35.605,62,12.998,78
2012-02-01 04:00:00,2,1,4,2,1,1,0,1,11.48,12.88,45,22.0028,4
2011-03-08 22:00:00,3,8,22,1,3,0,1,3,27.88,31.82,89,7.0015,66
2012-09-08 22:00:00,9,8,22,5,3,0,1,2,27.06,31.06,69,15.0013,218
2011-09-08 10:00:00,9,8,10,3,3,0,1,2,32.8,38.635,59,15.0013,89
2011-08-05 15:00:00,8,5,15,4,2,0,0,1,24.6,31.06,49,0.0,230
2011-05-12 18:00:00,5,12,18,3,4,0,1,1,18.04,21.97,77,0.0,386
2011-08-10 08:00:00,8,10,8,2,4,0,0,1,18.86,22.725,82,0.0,89
2012-09-10 05:00:00,9,10,5,0,4,0,1,2,15.58,19.695,82,12.998,19
2012-11-10 17:00:00,11,10,17,5,4,0,1,1,20.5,24.24,39,19.0012,737
2012-06-16 03:00:00,6,16,3,5,2,0,0,1,22.96,26.515,60,6.0032,19
2012-11-18 03:00:00,11,18,3,6,4,0,0,2,12.3,15.15,81,11.0014,37
2012-02-19 04:00:00,2,19,4,6,1,0,0,2,11.48,12.88,41,26.0027,3
2011-04-16 20:00:00,4,16,20,5,2,0,0,3,18.04,21.97,94,15.0013,49
2011-02-07 19:00:00,2,7,19,0,3,0,0,1,32.8,34.85,33,15.0013,149
2012-06-18 13:00:00,6,18,13,0,2,0,1,2,23.78,27.275,73,8.9981,174
2011-09-10 22:00:00,9,10,22,5,4,0,0,2,21.32,25.0,94,0.0,104
2011-05-13 22:00:00,5,13,22,4,2,0,1,2,21.32,25.0,83,15.0013,107
2011-12-17 02:00:00,12,17,2,5,4,0,0,2,11.48,13.635,56,15.0013,47
2011-10-18 03:00:00,10,18,3,1,4,0,1,1,18.04,21.97,94,6.0032,1
2011-11-08 06:00:00,11,8,6,1,3,0,1,1,25.42,30.305,65,11.0014,101
2011-07-05 02:00:00,7,5,2,1,2,0,0,1,17.22,21.21,82,6.0032,47
2012-09-13 08:00:00,9,13,8,3,3,0,1,1,22.96,26.515,73,0.0,725
2011-12-09 18:00:00,12,9,18,4,3,0,1,1,28.7,32.575,54,12.998,515
2012-10-11 21:00:00,10,11,21,3,4,0,0,1,16.4,20.455,66,0.0,169
2011-03-06 07:00:00,3,6,7,6,2,0,1,1,22.14,25.76,45,16.9979,252
2012-11-02 00:00:00,11,2,0,4,1,0,0,2,12.3,15.15,70,8.9981,50
2012-03-12 03:00:00,3,12,3,0,4,0,1,1,15.58,19.695,87,0.0,6
2011-02-03 00:00:00,2,3,0,3,1,0,1,1,9.02,11.365,69,11.0014,5
2012-12-07 09:00:00,12,7,9,4,3,0,1,1,29.52,33.335,58,7.0015,285
2012-04-12 01:00:00,4,12,1,3,4,0,1,1,17.22,21.21,82,7.0015,22
2011-11-15 08:00:00,11,15,8,1,4,0,1,2,22.14,25.76,68,7.0015,453
2012-11-14 12:00:00,11,14,12,2,4,0,1,1,13.94,16.665,46,0.0,200
2012-09-03 11:00:00,9,3,11,0,1,0,1,2,14.76,16.665,34,23.9994,170
2011-09-14 05:00:00,9,14,5,2,3,0,1,1,23.78,27.275,88,7.0015,30
2011-11-07 09:00:00,11,7,9,0,3,0,1,1,31.98,37.12,59,19.9995,167
2011-02-07 14:00:00,2,7,14,0,3,0,0,1,34.44,35.605,20,0.0,215
2012-05-16 11:00:00,5,16,11,2,2,0,1,1,28.7,32.575,54,8.9981,212
2012-12-06 15:00:00,12,6,15,3,2,0,1,3,27.06,29.545,89,12.998,94
2011-07-02 06:00:00,7,2,6,5,1,0,1,1,7.38,12.12,93,0.0,29
2012-11-10 06:00:00,11,10,6,5,4,0,1,1,14.76,17.425,50,11.0014,158
2011-02-17 03:00:00,2,17,3,3,1,0,1,1,13.94,16.665,53,12.998,1
2011-04-10 07:00:00,4,10,7,6,4,0,1,1,17.22,21.21,82,19.0012,298
2011-03-19 04:00:00,3,19,4,5,1,0,0,1,21.32,25.0,34,27.9993,2
2012-11-01 11:00:00,11,1,11,3,1,0,1,2,10.66,14.395,87,6.0032,90
2011-11-16 01:00:00,11,16,1,2,4,0,1,3,18.86,22.725,94,6.0032,5
2011-02-07 01:00:00,2,7,1,0,3,0,0,1,27.06,31.06,54,0.0,58
2012-01-14 22:00:00,1,14,22,5,1,0,0,1,6.56,6.82,47,23.9994,62
2012-02-14 07:00:00,2,14,7,1,1,0,1,2,9.84,12.88,60,6.0032,276
2012-12-16 15:00:00,12,16,15,6,4,0,0,2,15.58,19.695,82,7.0015,292
2011-04-09 14:00:00,4,9,14,5,3,0,0,1,31.98,37.88,66,22.0028,156
2012-09-04 07:00:00,9,4,7,1,2,0,1,1,17.22,21.21,28,12.998,320
2011-01-10 08:00:00,1,10,8,0,4,0,0,2,16.4,20.455,76,22.0028,58
2012-03-09 06:00:00,3,9,6,4,3,1,0,1,27.06,29.545,94,0.0,12
2011-08-12 09:00:00,8,12,9,4,4,0,1,1,9.84,10.605,52,26.0027,218
2011-02-05 03:00:00,2,5,3,5,2,0,1,1,18.04,21.97,77,8.9981,7
2011-01-10 12:00:00,1,10,12,0,4,0,0,2,16.4,20.455,82,16.9979,130
2011-12-07 05:00:00,12,7,5,2,3,0,1,1,28.7,33.335,79,6.0032,21
2011-09-02 18:00:00,9,2,18,4,1,0,1,2,7.38,8.335,47,19.9995,168
2011-06-10 20:00:00,6,10,20,4,4,0,1,1,20.5,24.24,77,7.0015,231
2011-12-13 22:00:00,12,13,22,1,4,0,1,1,12.3,15.15,52,11.0014,102
2012-07-06 07:00:00,7,6,7,4,2,0,1,1,20.5,24.24,82,11.0014,506
2011-06-17 19:00:00,6,17,19,4,2,0,1,3,26.24,28.79,83,16.9979,275
2011-10-04 16:00:00,10,4,16,1,2,0,0,2,21.32,25.0,72,11.0014,153
2012-02-17 11:00:00,2,17,11,4,1,0,1,1,14.76,16.665,62,27.9993,133
2012-04-15 19:00:00,4,15,19,6,2,0,0,1,28.7,31.82,42,16.9979,265
2011-05-09 09:00:00,5,9,9,0,3,1,0,3,27.88,31.82,74,11.0014,89
2012-03-12 15:00:00,3,12,15,0,4,0,1,1,24.6,31.06,56,0.0,210
2012-04-16 00:00:00,4,16,0,0,2,1,0,1,26.24,31.06,53,22.0028,26
2012-02-15 16:00:00,2,15,16,2,1,0,1,1,17.22,21.21,38,12.998,222
2011-02-09 20:00:00,2,9,20,2,3,0,1,1,26.24,30.305,73,0.0,158
2011-06-18 16:00:00,6,18,16,5,2,0,0,2,31.16,34.85,52,15.0013,275
2011-12-15 00:00:00,12,15,0,3,4,0,1,1,13.12,15.91,70,11.0014,45
2012-07-11 22:00:00,7,11,22,2,4,0,1,3,12.3,14.395,56,16.9979,56
2012-09-16 22:00:00,9,16,22,6,3,0,0,1,22.96,26.515,68,6.0032,109
2012-03-13 23:00:00,3,13,23,1,1,0,1,1,22.96,26.515,56,8.9981,79
2012-07-12 23:00:00,7,12,23,3,4,0,1,2,14.76,18.18,93,6.0032,116
2011-02-14 08:00:00,2,14,8,0,1,0,1,1,15.58,19.695,40,31.0009,249
2011-04-17 07:00:00,4,17,7,6,2,0,0,1,14.76,16.665,50,23.9994,14
2012-04-04 14:00:00,4,4,14,2,2,0,1,2,25.42,31.06,46,12.998,176
2012-01-08 08:00:00,1,8,8,6,3,0,1,2,27.06,30.305,78,12.998,649
2011-11-12 00:00:00,11,12,0,5,4,0,0,1,8.2,9.85,51,15.0013,69
2011-10-16 14:00:00,10,16,14,6,4,0,0,1,24.6,31.06,40,19.9995,258
2011-12-13 00:00:00,12,13,0,1,4,0,1,1,9.02,13.635,80,0.0,16
2011-02-13 10:00:00,2,13,10,6,1,0,0,1,12.3,13.635,45,22.0028,86
2012-06-19 11:00:00,6,19,11,1,2,0,1,1,27.06,31.06,69,8.9981,174
2011-11-18 21:00:00,11,18,21,4,4,0,1,1,11.48,13.635,48,11.0014,108
2012-04-09 00:00:00,4,9,0,0,3,0,1,2,28.7,33.335,84,16.9979,19
2012-01-12 05:00:00,1,12,5,3,4,0,0,1,9.84,12.88,87,6.0032,12
2012-06-14 02:00:00,6,14,2,3,2,0,1,2,25.42,31.06,53,16.9979,8
2012-03-17 05:00:00,3,17,5,5,1,0,0,2,17.22,21.21,94,6.0032,3
2012-09-16 21:00:00,9,16,21,6,3,0,0,1,24.6,31.06,56,7.0015,148
2011-05-02 04:00:00,5,2,4,0,1,0,0,3,9.02,11.365,93,8.9981,8
2011-12-05 18:00:00,12,5,18,0,2,0,1,1,25.42,30.305,69,15.0013,463
2011-09-11 19:00:00,9,11,19,6,4,0,1,1,18.04,21.97,72,7.0015,292
2011-03-08 03:00:00,3,8,3,1,3,0,1,2,31.16,34.85,55,6.0032,4
2012-11-17 10:00:00,11,17,10,5,4,0,0,1,14.76,16.665,46,16.9979,258
2012-12-11 12:00:00,12,11,12,1,4,1,0,1,22.96,26.515,64,15.0013,314
2011-02-08 06:00:00,2,8,6,1,3,0,1,1,27.88,31.82,69,7.0015,105
2011-12-14 08:00:00,12,14,8,2,4,0,1,2,10.66,15.15,87,0.0,458
2011-08-07 06:00:00,8,7,6,6,3,0,1,1,28.7,33.335,74,7.0015,91
2011-06-10 08:00:00,6,10,8,4,4,0,1,1,18.04,21.97,62,11.0014,437
2011-09-03 16:00:00,9,3,16,5,1,0,1,2,13.94,15.15,76,22.0028,102
2011-05-18 22:00:00,5,18,22,2,2,0,1,1,21.32,25.0,83,0.0,103
2012-08-07 11:00:00,8,7,11,1,3,0,0,1,37.72,44.695,42,19.9995,269
2011-12-16 07:00:00,12,16,7,4,4,0,1,2,15.58,19.695,46,19.9995,226
2011-05-17 05:00:00,5,17,5,1,2,0,1,3,21.32,25.0,94,16.9979,22
2012-08-02 11:00:00,8,2,11,3,1,0,1,2,10.66,12.88,65,15.0013,97
2012-08-14 17:00:00,8,14,17,1,3,0,1,3,31.16,36.365,66,16.9979,734
2011-12-14 02:00:00,12,14,2,2,4,0,1,1,10.66,15.15,75,0.0,2
2011-01-05 17:00:00,1,5,17,2,2,0,0,2,19.68,23.485,82,16.9979,136
2012-09-01 22:00:00,9,1,22,5,1,0,1,2,8.2,11.365,92,7.0015,54
2012-07-04 19:00:00,7,4,19,2,2,0,0,1,22.14,25.76,16,22.0028,243
2012-12-15 01:00:00,12,15,1,5,4,0,0,2,10.66,14.395,81,6.0032,86
2011-10-09 07:00:00,10,9,7,6,3,0,0,1,24.6,27.275,88,8.9981,43
2011-03-13 04:00:00,3,13,4,6,1,0,0,1,13.94,16.665,66,11.0014,9
2011-02-10 01:00:00,2,10,1,3,4,0,0,3,13.94,15.91,87,16.9979,23
2012-02-15 07:00:00,2,15,7,2,1,0,1,2,12.3,14.395,65,12.998,318
2012-10-08 09:00:00,10,8,9,0,3,0,1,2,26.24,28.79,89,0.0,199
2011-04-11 15:00:00,4,11,15,0,4,0,1,1,18.86,22.725,44,26.0027,192
2011-09-12 08:00:00,9,12,8,0,4,0,1,1,9.84,14.395,81,0.0,378
2011-11-17 21:00:00,11,17,21,3,4,0,1,1,12.3,14.395,42,16.9979,113
2012-01-01 16:00:00,1,1,16,6,1,0,0,2,18.04,21.97,54,19.9995,147
2012-01-02 03:00:00,1,2,3,0,1,0,1,1,18.04,21.97,44,12.998,3
2011-08-19 10:00:00,8,19,10,4,3,0,1,1,29.52,34.09,62,6.0032,108
2012-10-07 02:00:00,10,7,2,6,3,0,1,1,28.7,33.335,74,8.9981,15
2012-06-02 23:00:00,6,2,23,5,1,0,1,1,12.3,15.15,65,8.9981,43
2011-07-19 06:00:00,7,19,6,1,3,0,1,2,29.52,34.85,74,7.0015,126
2011-02-01 19:00:00,2,1,19,1,1,0,0,1,13.12,14.395,42,30.0026,29
2011-03-17 15:00:00,3,17,15,3,1,0,1,1,21.32,25.0,42,16.9979,95
2011-10-03 12:00:00,10,3,12,0,1,0,1,3,17.22,21.21,0,15.0013,30
2012-12-17 04:00:00,12,17,4,0,4,0,1,3,14.76,18.94,100,0.0,3
2011-12-03 07:00:00,12,3,7,5,1,0,0,1,9.84,11.365,70,12.998,19
2011-12-14 07:00:00,12,14,7,2,4,0,1,1,11.48,15.91,75,0.0,243
2011-06-10 10:00:00,6,10,10,4,4,0,1,1,21.32,25.0,52,0.0,105
2011-09-10 20:00:00,9,10,20,5,4,0,0,1,22.96,26.515,73,7.0015,134
2012-03-06 04:00:00,3,6,4,1,2,0,0,1,20.5,24.24,72,6.0032,12
2012-09-03 03:00:00,9,3,3,0,1,0,1,1,18.86,22.725,77,35.0008,7
2012-08-18 01:00:00,8,18,1,5,3,0,0,3,25.42,27.275,94,11.0014,78
2012-12-06 05:00:00,12,6,5,3,2,0,1,3,24.6,27.275,88,8.9981,28
2011-12-10 11:00:00,12,10,11,5,4,0,1,3,22.14,25.76,94,22.0028,102
2011-03-15 17:00:00,3,15,17,1,1,0,1,2,14.76,17.425,62,12.998,195
2012-11-15 13:00:00,11,15,13,3,4,0,1,2,15.58,19.695,54,7.0015,197
2011-11-07 08:00:00,11,7,8,0,3,0,1,1,30.34,34.85,66,19.0012,385
2012-07-03 02:00:00,7,3,2,1,1,0,1,1,12.3,14.395,56,19.0012,4
2011-05-08 19:00:00,5,8,19,6,3,0,1,1,30.34,34.09,55,16.9979,282
2011-02-18 09:00:00,2,18,9,4,1,0,1,2,17.22,21.21,77,12.998,154
2011-08-02 23:00:00,8,2,23,1,1,0,1,1,4.92,5.305,33,22.0028,9
2011-09-13 23:00:00,9,13,23,1,3,0,1,1,26.24,29.545,78,7.0015,59
2011-09-07 21:00:00,9,7,21,2,3,0,0,1,30.34,34.09,58,11.0014,155
2011-07-10 02:00:00,7,10,2,6,4,0,1,1,17.22,21.21,88,0.0,5
2012-04-07 06:00:00,4,7,6,5,3,1,0,1,27.06,31.06,69,0.0,23
2012-05-19 13:00:00,5,19,13,5,2,0,0,1,28.7,31.82,37,8.9981,372
2012-10-08 00:00:00,10,8,0,0,3,0,1,1,28.7,32.575,65,6.0032,68
2011-05-14 11:00:00,5,14,11,5,2,0,0,2,21.32,25.0,94,8.9981,207
2011-10-03 16:00:00,10,3,16,0,1,0,1,3,17.22,21.21,0,16.9979,20
2011-12-03 08:00:00,12,3,8,5,1,0,0,1,10.66,12.88,65,11.0014,44
2012-12-12 12:00:00,12,12,12,2,4,0,1,2,13.94,18.18,42,0.0,218
2011-06-16 11:00:00,6,16,11,3,2,0,1,2,27.88,31.82,61,19.9995,117
2011-02-17 21:00:00,2,17,21,3,1,0,1,1,21.32,25.0,55,26.0027,119
2012-10-03 03:00:00,10,3,3,2,1,0,0,1,10.66,11.365,41,19.9995,16
2012-03-12 06:00:00,3,12,6,0,4,0,1,1,14.76,18.94,93,0.0,136
2012-07-01 07:00:00,7,1,7,6,1,0,0,1,9.02,11.365,87,12.998,20
2012-01-04 11:00:00,1,4,11,2,2,0,0,2,16.4,20.455,71,12.998,271
2012-11-02 09:00:00,11,2,9,4,1,0,0,3,9.02,12.12,93,7.0015,85
2012-02-08 14:00:00,2,8,14,2,3,0,1,1,35.26,39.395,41,8.9981,171
2011-10-12 06:00:00,10,12,6,2,4,0,0,1,9.84,12.88,65,7.0015,10
2011-12-17 08:00:00,12,17,8,5,4,0,0,2,10.66,12.88,56,15.0013,55
2011-09-15 07:00:00,9,15,7,3,3,0,1,2,25.42,29.545,78,12.998,321
2011-08-18 03:00:00,8,18,3,3,3,0,1,1,27.06,31.06,69,19.0012,6
2011-07-13 10:00:00,7,13,10,2,3,0,1,1,33.62,37.88,46,12.998,80
2011-04-18 22:00:00,4,18,22,0,2,0,1,1,21.32,25.0,55,19.0012,81
2012-07-12 12:00:00,7,12,12,3,4,0,1,2,13.94,16.665,71,12.998,204
2012-03-03 10:00:00,3,3,10,5,1,0,0,2,16.4,20.455,87,0.0,137
2011-06-03 15:00:00,6,3,15,4,1,0,0,3,18.04,21.97,100,15.0013,4
2011-05-02 06:00:00,5,2,6,0,1,0,0,3,8.2,12.88,100,0.0,4
2011-09-13 05:00:00,9,13,5,1,3,0,1,1,22.96,26.515,88,0.0,19
2011-08-19 01:00:00,8,19,1,4,3,0,1,3,26.24,28.79,89,0.0,19
2011-06-15 20:00:00,6,15,20,2,2,0,1,1,27.06,31.06,44,11.0014,273
2012-05-07 07:00:00,5,7,7,0,3,0,1,1,31.16,34.85,55,0.0,316
2011-06-14 19:00:00,6,14,19,1,2,0,1,1,26.24,31.06,50,23.9994,335
2012-01-18 07:00:00,1,18,7,2,1,0,1,1,13.12,14.395,42,23.9994,262
